student_id,course_id,mark
S013,C099,6.13
S067,C080,4.36
S022,C003,4.94
S073,C042,6.75
S050,C034,6.8
S014,C002,8.27
S036,C085,7.79
S042,C070,4.71
S012,C005,7.25
S031,C050,4.04
S023,C004,5.85
S059,C021,4.9
S011,C057,4.62
S083,C008,9.1
S078,C059,8.11
S009,C066,6.8
S033,C037,8.52
S050,C001,8.37
S041,C099,4.24
S090,C002,5.66
S054,C022,7.58
S078,C042,8.04
S067,C059,8.68
S052,C062,5.58
S044,C020,8.58
S027,C021,6.08
S004,C083,7.86
S022,C077,5.21
S075,C071,9.39
S085,C006,9.15
S035,C011,9.27
S050,C015,4.84
S090,C023,9.46
S001,C052,6.8
S063,C072,8.65
S028,C055,5.71
S068,C042,4.91
S024,C045,7.29
S028,C022,6.22
S079,C079,6.94
S090,C075,7.53
S094,C023,8.34
S082,C016,6.7
S033,C018,9.11
S063,C061,7.85
S074,C021,6.8
S013,C037,7.27
S049,C025,5.55
S031,C043,6.35
S091,C087,4.54
S013,C002,8.41
S039,C050,5.55
S054,C099,8.43
S092,C086,6.79
S094,C057,4.31
S060,C075,9.84
S009,C029,4.16
S012,C056,4.02
S034,C099,6.91
S065,C026,6.6
S041,C037,9.57
S031,C055,8.25
S044,C003,4.42
S041,C049,6.55
S063,C070,7.28
S024,C048,8.32
S024,C028,8.16
S082,C017,7.34
S092,C078,5.66
S093,C095,8.57
S008,C067,6.51
S094,C035,8.03
S071,C035,6.17
S002,C072,5.6
S005,C058,8.63
S093,C058,8.41
S035,C041,7.39
S003,C052,7.34
S024,C089,4.86
S026,C099,6.23
S007,C092,7.58
S091,C046,4.17
S064,C068,4.29
S077,C048,7.42
S016,C092,8.38
S012,C086,8.07
S041,C073,8.75
S007,C028,9.09
S044,C054,7.23
S082,C075,9.08
S049,C001,4.81
S032,C098,9.96
S044,C030,4.04
S022,C049,5.97
S019,C057,4.17
S086,C038,7.68
S066,C009,6.93
S026,C075,7.88
S046,C065,8.89
S096,C047,8.55
