Number_of_Customers_Per_Day,Average_Order_Value,Operating_Hours_Per_Day,Number_of_Employees,Marketing_Spend_Per_Day,Location_Foot_Traffic,Daily_Revenue
152,6.74,14,4,106.62,97,1547.81
485,4.5,12,8,57.83,744,2084.68
398,9.09,6,6,91.76,636,3118.39
320,8.48,17,4,462.63,770,2912.2
156,7.44,17,2,412.52,232,1663.42
121,8.88,6,9,183.49,484,1155.18
238,9,11,4,331.35,156,2179.13
70,7.81,10,3,273.27,237,890.17
152,8.78,14,2,341.79,825,1704.94
171,7.73,7,5,344.51,135,2025.55
264,7.6,13,14,318.08,885,2099.66
380,7.14,16,9,140.39,892,2568.92
137,8.15,10,14,29.11,505,1367.08
422,3.69,7,4,233.23,186,1817.02
149,9.11,15,2,446.58,907,1707.13
409,9.04,16,5,289.05,947,3618.25
201,2.72,16,10,417.87,385,876.02
180,8.69,17,14,495.9,656,2167.08
199,3.47,11,2,90.17,887,962.96
358,5.01,15,13,348.97,806,2463.86
307,8.08,13,12,340.4,518,2445.85
393,3.71,9,3,490.18,651,2221.32
463,8.63,7,10,492.94,620,4368.39
343,8.74,17,3,346.47,452,3165.36
435,6.31,16,14,129.37,589,2580.95
241,2.55,10,4,401.29,121,770.84
493,4.65,17,8,62.44,831,2284.46
326,7.13,7,4,392.54,73,2416.98
210,9.86,7,10,456,673,2397.9
363,7.24,11,7,197.59,861,2745.29
71,4.45,16,4,319.01,534,399.54
302,7.26,15,10,220.77,105,2040.26
285,6.55,14,2,224.5,272,2260.56
394,8.35,9,11,162.08,681,3228.44
98,3.3,11,4,383.44,228,733.78
108,8.21,12,2,468.73,849,1526.31
219,6.56,16,3,470.97,483,2133.33
237,9.72,11,13,95.64,986,2441.69
320,5.06,13,9,438.62,499,1892.72
239,7.24,9,8,371.34,842,1909.37
495,9.49,17,3,133.89,933,4550.3
224,3.27,6,3,42.97,541,851.77
495,9.53,12,10,141.32,238,4188.8
100,7.66,8,14,456.98,627,1177.41
413,3.01,11,14,320.26,859,1560.46
104,4.76,7,7,363.32,469,995.23
293,7.81,14,6,136,298,2273.88
369,3.01,6,11,362.5,637,1271.51
180,6.87,11,7,23.78,698,1156.98
356,5.09,11,10,193.91,213,1778.23
184,7.16,10,12,317.11,794,1428.1
70,2.84,10,8,81.59,304,299.11
378,9.04,6,11,413.27,525,3672.71
216,9.8,15,11,125.17,855,2253.21
323,9.77,17,10,329.62,466,3162.38
437,8.12,10,5,208.55,219,3553.46
138,3.48,7,3,302.06,366,571.57
365,8.19,12,13,62.65,223,2729.42
63,2.68,8,9,18.29,519,272.13
291,2.67,9,5,455.69,394,1492.41
314,4.93,8,14,142.12,494,1717.36
395,6.16,8,10,411.64,67,2968.22
102,8.28,9,5,499.68,119,1420.47
435,7.62,10,9,113.6,387,3252.78
389,5.84,6,10,139.93,677,2628.23
141,4.55,9,14,334.8,641,986.17
416,9.98,17,10,483.07,576,4737.16
493,5.7,17,11,458.75,737,3392.51
477,5.89,16,5,256.41,505,2859.93
313,3.73,13,2,399.6,318,1613.57
480,8.46,15,4,76.52,680,3793.18
84,7.7,12,10,488.94,860,1479.56
255,4.16,14,5,482.53,237,1759.04
130,3.12,10,6,90.23,618,405.39
469,7.6,15,8,156.72,760,3026.63
99,7.41,9,6,59.08,578,883.29
409,4.55,13,5,143.14,483,1503.07
437,9.63,14,3,409.82,337,4129.01
51,3.63,12,3,195.37,967,379.18
439,5.74,12,14,53.31,616,2105.02
103,9.58,10,14,177.69,548,1218.11
155,5.65,9,5,490.88,490,1465.26
309,7.29,15,11,318.54,830,2662.21
359,5.48,6,14,213.92,352,1769.92
240,4.56,15,11,91.6,136,989.98
451,9.88,15,14,493.23,879,4750.98
267,5.57,12,10,412.22,487,1965.35
93,9.21,6,9,147.92,590,1131.56
211,4.22,6,4,44.33,71,684.96
251,4.1,10,10,37.75,882,889.21
495,2.73,14,6,68.99,846,1421.17
319,7.39,11,12,294.58,609,2123.83
400,5.26,8,4,465.09,566,2668.22
353,8.98,8,6,253.4,811,3385.84
320,6.05,12,14,423.04,724,2110.23
264,9.76,11,11,228.48,552,2598.69
301,3.89,14,14,357.21,763,1888.15
239,9.01,11,5,368.62,516,2622.95
345,8.32,10,9,95.24,150,2815.61
262,8.28,15,14,187,632,2431.12
